Time Period,Missing Prcp,Missing TMax,Missing TMin,Mean Prcp (cm),Prcp SD
1940-1949,0,14,20,0.155094442923624,0.00866478134554464
1941-1950,0,14,9,0.152831325301205,0.0087095013745933
1942-1951,0,14,6,0.155035596933187,0.00882277362086629
1943-1952,0,8,0,0.147147549958938,0.00854731537975293
1944-1953,0,8,0,0.148401313988503,0.00897083657398112
1945-1954,0,0,0,0.147962760131435,0.00899020655425723
1946-1955,0,0,0,0.148871851040526,0.00894535433784654
1947-1956,0,0,0,0.1500465370928,0.00929092927546828
1948-1957,0,0,0,0.152113331508349,0.00947373720405802
1949-1958,0,0,0,0.143313253012048,0.00895748369342171
1950-1959,0,0,0,0.141489594742607,0.0088391773870049
1951-1960,0,0,0,0.143180947166712,0.00880880699204843
1952-1961,0,0,0,0.141866958664112,0.00879658073900197
1953-1962,0,0,0,0.151213033953998,0.00897764875374907
1954-1963,0,0,0,0.150186199342826,0.00874848811698564
1955-1964,0,0,0,0.149709827539009,0.00877606405439361
1956-1965,0,0,0,0.151645223104298,0.00873217081208207
1957-1966,0,0,0,0.146437568455641,0.0082915580310942
1958-1967,0,1,1,0.142291894852136,0.00806387872120857
1959-1968,0,1,1,0.152874349849439,0.00838071124008304
1960-1969,0,2,2,0.160087599233507,0.00867986699603861
1961-1970,0,2,2,0.160188937568456,0.00872877709749133
1962-1971,0,2,2,0.167187842278204,0.00945291151727567
1963-1972,0,2,2,0.166315357240624,0.00962375008564765
1964-1973,0,2,2,0.159709827539009,0.00924715218932209
1965-1974,0,2,2,0.158918400876232,0.00917976808475002
1966-1975,0,2,2,0.159173055859803,0.00918285615731904
1967-1976,0,2,2,0.152258417738845,0.00888913699273974
1968-1977,0,1,1,0.168258965234054,0.0100942458979271
1969-1978,0,1,1,0.163598028477547,0.00996945608202623
1970-1979,0,0,0,0.165599671412924,0.0100385353578827
1971-1980,0,0,0,0.163328770873255,0.00997469025098506
1972-1981,0,0,0,0.152614289624966,0.0091273250416926
1973-1982,0,0,0,0.149052573932092,0.00879249089295292
1974-1983,0,2,2,0.150068455640745,0.00872860230156142
1975-1984,0,2,2,0.156994251300301,0.00891214890417171
1976-1985,0,2,2,0.152790309106099,0.00899451568909382
1977-1986,0,2,2,0.165128133704735,0.00942870744294503
1978-1987,0,2,2,0.149272980501393,0.00835907691820099
1979-1988,0,2,2,0.145435811751601,0.00834636523320165
1980-1989,0,2,2,0.136755778334726,0.00794666951656664
1981-1990,0,3,2,0.137910863509749,0.00802342938683149
1982-1991,0,3,2,0.149732590529248,0.00867152570726533
1983-1992,0,3,2,0.148886104149262,0.00866904347321388
1984-1993,0,1,0,0.151812865497076,0.00888172687830664
1985-1994,0,1,0,0.151966573816156,0.00934588039859572
1986-1995,0,1,0,0.154958926615553,0.00926176703404917
1987-1996,183,2,1,0.146618641576007,0.00933345236032526
1988-1997,547,2,1,0.14947628458498,0.00983902946009165
1989-1998,639,4,3,0.154981311586816,0.0102539660980299
1990-1999,639,5,4,0.15515460414543,0.0102405375242237
1991-2000,639,4,4,0.156256793478261,0.00999843337150994
1992-2001,639,4,4,0.14828464673913,0.00949937495967156
1993-2002,639,4,4,0.146833163438668,0.00996951620357287
1994-2003,639,4,4,0.142014950730547,0.00974034055945657
1995-2004,639,4,4,0.142584918478261,0.0091925802867462
1996-2005,639,4,4,0.140455163043478,0.00911696863961852
1997-2006,456,3,3,0.142078247261346,0.00889174173923779
1998-2007,92,3,3,0.144780898876404,0.00851307703940934
1999-2008,0,1,1,0.147645770599507,0.008419334874641
2000-2009,0,0,0,0.153364358061867,0.00856066607463632
2001-2010,0,0,0,0.159173055859803,0.00884441272820233
2002-2011,0,0,0,0.157601314348302,0.00875858072521876
2003-2012,0,0,0,0.157328223378045,0.00852754399511048
2004-2013,0,0,0,0.161894333424583,0.00886214223416264
2005-2014,0,0,0,0.154545454545455,0.00855762053006299
